Standard,Grade,type,answer_text,questionattemptid,total_rubric_score,Audio Link,Transcription,whisper_words,whisper_segments,whisper_language,Audio Audible,Transcript Acceptable
ca,1,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1737759546379_15223913_1.mp3,125420729,0,https://drive.google.com/file/d/1l0sWVznEn_f1oCeqlJzhgmzO7xMx-n38/view?usp=sharing, The kids are cleaning.,"[{""word"": ""The"", ""start"": 0.62, ""end"": 0.8}, {""word"": ""kids"", ""start"": 0.8, ""end"": 1.42}, {""word"": ""are"", ""start"": 1.42, ""end"": 1.88}, {""word"": ""cleaning."", ""start"": 1.88, ""end"": 3.12}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 3.14, ""text"": "" The kids are cleaning."", ""tokens"": [50365, 440, 2301, 366, 8924, 13, 50522], ""temperature"": 0, ""avg_logprob"": -0.046497725, ""compression_ratio"": 0.73333335, ""no_speech_prob"": 1.8374917e-10}]",Icelandic,Yes,Yes
ca,2,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1738279076465_16113714_2.mp3,132724395,0,https://drive.google.com/file/d/1gXqLvabNA9C1PBMVbrBHB29DGSZC0ags/view?usp=sharing, . .,"[{""word"": ""."", ""start"": 0, ""end"": 1.08}, {""word"": ""."", ""start"": 3.9, ""end"": 7.78}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 4.4, ""text"": "" ."", ""tokens"": [50365, 2411, 50585], ""temperature"": 1, ""avg_logprob"": -2.041714, ""compression_ratio"": 0.27272728, ""no_speech_prob"": 5.1082527e-10}, {""id"": 1, ""seek"": 0, ""start"": 4.4, ""end"": 8.66, ""text"": "" ."", ""tokens"": [50585, 2411, 50798], ""temperature"": 1, ""avg_logprob"": -2.041714, ""compression_ratio"": 0.27272728, ""no_speech_prob"": 5.1082527e-10}]",English,No,No
ca,3,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1740093073773_19377029_1.mp3,154839753,0,https://drive.google.com/file/d/16DS157VCuQikP-sqcMq_pB983xZOQYth/view?usp=sharing, The children are in a forest on a log.,"[{""word"": ""The"", ""start"": 1.86, ""end"": 2.04}, {""word"": ""children"", ""start"": 2.04, ""end"": 2.64}, {""word"": ""are"", ""start"": 2.64, ""end"": 3.8}, {""word"": ""in"", ""start"": 3.8, ""end"": 4.16}, {""word"": ""a"", ""start"": 4.16, ""end"": 4.5}, {""word"": ""forest"", ""start"": 4.5, ""end"": 5.1}, {""word"": ""on"", ""start"": 5.1, ""end"": 5.56}, {""word"": ""a"", ""start"": 5.56, ""end"": 5.88}, {""word"": ""log."", ""start"": 5.88, ""end"": 6.74}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 7.2, ""text"": "" The children are in a forest on a log."", ""tokens"": [50365, 440, 2227, 366, 294, 257, 6719, 322, 257, 3565, 13, 50725], ""temperature"": 0, ""avg_logprob"": -0.18987918, ""compression_ratio"": 0.9047619, ""no_speech_prob"": 2.0742864e-10}]",Icelandic,Yes,Yes
ca,4,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1734381210581_12146883_4.mp3,95970423,0,https://drive.google.com/file/d/10P9XXQpP93WPzFjpYNA6rLORw2vTccVo/view?usp=sharing, Það er mamið. Það er kynnt.,"[{""word"": ""\u00dea\u00f0"", ""start"": 0.02, ""end"": 1.22}, {""word"": ""er"", ""start"": 1.22, ""end"": 1.24}, {""word"": ""mami\u00f0."", ""start"": 1.24, ""end"": 2.04}, {""word"": ""\u00dea\u00f0"", ""start"": 1.94, ""end"": 3}, {""word"": ""er"", ""start"": 3, ""end"": 3.02}, {""word"": ""kynnt."", ""start"": 3.02, ""end"": 3.66}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 1.96, ""text"": "" \u00dea\u00f0 er mami\u00f0."", ""tokens"": [50365, 690, 252, 64, 23436, 1189, 275, 4526, 23436, 13, 50463], ""temperature"": 0, ""avg_logprob"": -0.64073426, ""compression_ratio"": 0.9411765, ""no_speech_prob"": 2.9778466e-10}, {""id"": 1, ""seek"": 0, ""start"": 1.96, ""end"": 3.74, ""text"": "" \u00dea\u00f0 er kynnt."", ""tokens"": [50463, 690, 252, 64, 23436, 1189, 350, 2534, 580, 13, 50552], ""temperature"": 0, ""avg_logprob"": -0.64073426, ""compression_ratio"": 0.9411765, ""no_speech_prob"": 2.9778466e-10}]",Icelandic,No,No
ca,5,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1727108840025_1588004_2.mp3,16975931,0,https://drive.google.com/file/d/1FVZwuJm5ks7N231zMktdX0VNPT6U6jbG/view?usp=sharing, It's music class.,"[{""word"": ""It's"", ""start"": 0.76, ""end"": 1.3}, {""word"": ""music"", ""start"": 1.3, ""end"": 1.78}, {""word"": ""class."", ""start"": 1.78, ""end"": 3.12}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 2.64, ""text"": "" It's music class."", ""tokens"": [50365, 467, 311, 1318, 1508, 13, 50497], ""temperature"": 0, ""avg_logprob"": -0.35125354, ""compression_ratio"": 0.68, ""no_speech_prob"": 3.4348951e-10}]",Icelandic,Yes,Yes
ca,6,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1740626443593_19470939_2.mp3,155455313,0,https://drive.google.com/file/d/1udJxWhzvJJ-m0v5N6jrrlxRaGElzoMpz/view?usp=sharing," What are doing the teachers looking to the students? What are the men, the kids, are in that mode?","[{""word"": ""What"", ""start"": 0.12, ""end"": 0.54}, {""word"": ""are"", ""start"": 0.54, ""end"": 0.74}, {""word"": ""doing"", ""start"": 0.74, ""end"": 1.38}, {""word"": ""the"", ""start"": 1.38, ""end"": 1.9}, {""word"": ""teachers"", ""start"": 1.9, ""end"": 2.74}, {""word"": ""looking"", ""start"": 2.74, ""end"": 3.74}, {""word"": ""to"", ""start"": 3.74, ""end"": 4.2}, {""word"": ""the"", ""start"": 4.2, ""end"": 4.56}, {""word"": ""students?"", ""start"": 4.56, ""end"": 5.72}, {""word"": ""What"", ""start"": 6.44, ""end"": 6.9}, {""word"": ""are"", ""start"": 6.9, ""end"": 7.38}, {""word"": ""the"", ""start"": 7.38, ""end"": 7.96}, {""word"": ""men,"", ""start"": 7.96, ""end"": 9.58}, {""word"": ""the"", ""start"": 9.58, ""end"": 10.5}, {""word"": ""kids,"", ""start"": 10.5, ""end"": 11.88}, {""word"": ""are"", ""start"": 11.88, ""end"": 12.18}, {""word"": ""in"", ""start"": 12.18, ""end"": 12.86}, {""word"": ""that"", ""start"": 12.86, ""end"": 13.1}, {""word"": ""mode?"", ""start"": 13.1, ""end"": 13.94}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 6, ""text"": "" What are doing the teachers looking to the students?"", ""tokens"": [50365, 708, 366, 884, 264, 6023, 1237, 281, 264, 1731, 30, 50665], ""temperature"": 0, ""avg_logprob"": -0.45209137, ""compression_ratio"": 1.2405063, ""no_speech_prob"": 1.11699434e-10}, {""id"": 1, ""seek"": 0, ""start"": 6, ""end"": 14, ""text"": "" What are the men, the kids, are in that mode?"", ""tokens"": [50665, 708, 366, 264, 1706, 11, 264, 2301, 11, 366, 294, 300, 4391, 30, 51065], ""temperature"": 0, ""avg_logprob"": -0.45209137, ""compression_ratio"": 1.2405063, ""no_speech_prob"": 1.11699434e-10}]",English,Yes,Yes
ca,7,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1742498508350_21382970_2.mp3,168621697,0,https://drive.google.com/file/d/1bQDtZJxPjlyrHosojtoE6Z7IPzXRMmQq/view?usp=sharing, .,"[{""word"": ""."", ""start"": 0, ""end"": 0.4}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 3.8, ""text"": "" ."", ""tokens"": [50365, 2411, 50555], ""temperature"": 0, ""avg_logprob"": -0.41271704, ""compression_ratio"": 0.11111111, ""no_speech_prob"": 2.667198e-10}]",English,No,No
ca,8,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1736188959565_12673064_6.mp3,99914613,0,https://drive.google.com/file/d/17iRYct8brjS0Cs7fHSK49x1PvXV7uwAG/view?usp=sharing, The girls are at the room of our house.,"[{""word"": ""The"", ""start"": 0.3, ""end"": 0.52}, {""word"": ""girls"", ""start"": 0.52, ""end"": 0.92}, {""word"": ""are"", ""start"": 0.92, ""end"": 1.34}, {""word"": ""at"", ""start"": 1.34, ""end"": 1.72}, {""word"": ""the"", ""start"": 1.72, ""end"": 1.86}, {""word"": ""room"", ""start"": 1.86, ""end"": 2.52}, {""word"": ""of"", ""start"": 2.52, ""end"": 3.12}, {""word"": ""our"", ""start"": 3.12, ""end"": 3.48}, {""word"": ""house."", ""start"": 3.48, ""end"": 4.12}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 4.1, ""text"": "" The girls are at the room of our house."", ""tokens"": [50365, 440, 4519, 366, 412, 264, 1808, 295, 527, 1782, 13, 50570], ""temperature"": 0, ""avg_logprob"": -0.28016567, ""compression_ratio"": 0.84782606, ""no_speech_prob"": 1.6593239e-11}]",English,Yes,Yes
ca,9,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/ca_auto_audios/1736976377228_13979149_6.mp3,113157977,0,https://drive.google.com/file/d/1uBHcresjf0-xng8K1lHgKO2HID8FfrKN/view?usp=sharing, A day of drinking coffee.,"[{""word"": ""A"", ""start"": 0.62, ""end"": 1.06}, {""word"": ""day"", ""start"": 1.06, ""end"": 1.18}, {""word"": ""of"", ""start"": 1.18, ""end"": 1.36}, {""word"": ""drinking"", ""start"": 1.36, ""end"": 1.92}, {""word"": ""coffee."", ""start"": 1.92, ""end"": 2.82}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 3, ""text"": "" A day of drinking coffee."", ""tokens"": [50365, 316, 786, 295, 7583, 4982, 13, 50515], ""temperature"": 0, ""avg_logprob"": -0.6854052, ""compression_ratio"": 0.75757575, ""no_speech_prob"": 2.2723127e-11}]",English,No,No
tx,1,speaking,https://summitk12-quiz-audios.s3-accelerate.amazonaws.com/auto_audios/1743517467988_22066826_2.mp3,173779983,0,https://drive.google.com/file/d/1OeXwoJ3rZLJ8Ij1ZfH_dov3j8agf3Kls/view?usp=sharing, .,"[{""word"": ""."", ""start"": 0, ""end"": 0.96}]","[{""id"": 0, ""seek"": 0, ""start"": 0, ""end"": 10.34, ""text"": "" ."", ""tokens"": [50365, 2411, 50882], ""temperature"": 0, ""avg_logprob"": -0.80680084, ""compression_ratio"": 0.11111111, ""no_speech_prob"": 1.2328971e-10}]",English,No,No
